heart_rate,activity_level,anomaly
77.64052345967664,0,0
64.00157208367223,2,0
69.78737984105739,2,0
82.40893199201457,2,0
78.67557990149967,1,0
50.22722120123589,1,0
69.50088417525589,1,0
58.48642791702302,1,0
58.96781148206442,0,0
64.10598501938372,1,0
61.44043571160878,1,0
74.54273506962976,2,0
67.61037725146994,1,0
61.216750164928285,0,0
64.43863232745426,0,0
63.33674327374267,2,0
74.94079073157606,0,0
57.94841736234199,1,0
63.13067701650901,1,0
51.45904260698275,0,0
34.470101841659215,0,0
66.5361859544036,1,0
68.64436198859505,2,0
52.57834979593558,1,0
82.69754623987608,2,0
45.45634325401235,2,0
60.45758517301446,0,0
58.128161499741665,2,0
75.32779214358457,1,0
74.69358769900285,1,0
61.54947425696916,0,0
63.781625196021736,2,0
51.12214252369887,1,0
40.19203531776073,2,0
56.52087850673848,1,0
61.5634896910398,1,0
72.30290680727721,1,0
72.02379848784412,1,0
56.12673182592048,0,0
56.976972494246645,0,0
49.51447034932907,2,0
45.79982062821025,2,0
42.937298093749874,0,0
79.5077539523179,1,0
54.90347818248347,2,1
55.619256983888135,2,0
47.47204639950074,0,0
67.7749035583191,2,0
43.86102152442049,0,0
57.872597197860316,1,0
51.045334388063246,2,0
63.86902497859262,1,1
54.89194862431127,1,0
48.19367815877588,0,0
59.718177716613454,1,0
64.28331870530418,0,0
60.66517222383168,0,0
63.02471897739781,2,0
53.65677906319036,1,0
56.372588340128615,0,0
53.27539552224049,2,0
56.40446838459459,0,0
51.86853717955546,1,0
42.73717397668323,1,1
61.77426142253753,2,0
55.982190637917384,2,0
43.69801653033956,2,0
64.62782255525774,2,0
50.92701635616758,2,0
60.51945395796139,1,0
67.29090562177537,2,0
61.28982910757411,2,0
71.39400684543301,2,0
47.651741796463476,2,0
64.02341641177549,1,0
53.15189909059687,1,0
51.29202850818118,0,0
54.21150335235585,2,0
56.88447467872627,2,0
60.561653422297454,1,0
48.348501592166436,1,0
69.00826486954188,1,0
64.6566243973046,2,0
44.63756313722776,0,0
74.882521937956,0,0
78.95889176030583,1,0
71.7877957115965,1,0
58.200751641876494,1,0
49.292473784894575,1,0
70.54451726931137,0,0
55.9682305302682,0,0
72.22445070382427,1,0
62.0827497807686,0,0
69.76639036483712,1,0
63.56366397174402,0,0
67.06573168191949,2,0
60.10500020720821,2,0
77.85870493905836,0,0
61.2691209270362,1,0
64.01989363444702,0,1
78.83150697056254,1,0
46.52240938857554,1,0
47.29515001514267,1,0
69.69396708158011,1,0
48.2687659488584,0,0
79.43621185649292,0,0
55.863810192402525,2,0
52.525451885592425,1,0
79.22942026480385,2,0
74.80514791434425,0,0
78.6755896042657,0,0
69.06044658275385,1,0
51.38774314945297,0,0
79.10064953099034,1,0
57.31996629048619,2,0
68.02456395796395,1,0
69.47251967773748,0,0
58.44989906909166,0,1
66.1407937034608,0,0
69.22206671566526,2,0
63.7642553115563,1,1
49.00599209415805,2,0
62.98238174206056,0,0
